VB:"hoover" VBZ:"hoovers" VBG:"hoovering" VBD:"hoovered" VBN:"hoovered"
NP:"workington" NPS:"-"
NP:"worksop" NPS:"-"
NP:"worthing" NPS:"-"
NP:"wrexham" NPS:"-"
NP:"writtle" NPS:"-"
NP:"wroclaw" NPS:"-"
NP:"wroughton" NPS:"-"
NP:"wuhan" NPS:"-"
NP:"wuppertal" NPS:"-"
NP:"wurzburg" NPS:"-"
NP:"wusih" NPS:"-"
NP:"wycombe" NPS:"-"
NP:"wymondham" NPS:"-"
NP:"wyoming" NPS:"-"
NP:"wythall" NPS:"-"
NN:"x-ray" NNS:"x-rays"
NN:"xerox" NNS:"xeroxes"
NN:"xmas" NNS:"xmases"
NP:"xmas" NPS:"-"
NN:"yha" NNS:"-"
NN:"ymca" NNS:"-"
NN:"ywca" NNS:"-"
NN:"yank" NNS:"yanks"
NN:"yankee" NNS:"yankees"
NP:"yarmouth" NPS:"-"
NP:"yaroslavi" NPS:"-"
NP:"yate" NPS:"-"
NP:"yateley" NPS:"-"
NP:"yemen" NPS:"-"
NN:"yemeni" NNS:"yemenis"
NP:"yeovil" NPS:"-"
NP:"yerevan" NPS:"-"
NN:"yiddish" NNS:"-"
NP:"yokohama" NPS:"-"
NP:"york" NPS:"-"
NP:"yorkley" NPS:"-"
NP:"yorkshire" NPS:"-"
NP:"ystradgynlais" NPS:"-"
NN:"yugoslav" NNS:"yugoslavs"
NP:"yugoslavia" NPS:"-"
NN:"yugoslavian" NNS:"yugoslavians"
NP:"yukon" NPS:"-"
NP:"yvonne" NPS:"-"
NP:"zagreb" NPS:"-"
NP:"zaire" NPS:"-"
NN:"zairean" NNS:"zaireans"
NP:"zambia" NPS:"-"
NN:"zambian" NNS:"zambians"
NP:"zaporozhye" NPS:"-"
NP:"zaragoza" NPS:"-"
NP:"zealand" NPS:"-"
NN:"zealander" NNS:"zealanders"
NN:"zen" NNS:"-"
NP:"zimbabwe" NPS:"-"
NN:"zimbabwean" NNS:"zimbabweans"
NN:"zion" NNS:"zions"
NN:"zionism" NNS:"-"
NN:"zionist" NNS:"zionists"
NP:"zoe" NPS:"-"
NP:"zurich" NPS:"-"
NN:"_eclair" NNS:"_eclairs"
NN:"_eclat" NNS:"-"
NN:"_elan" NNS:"-"
NN:"_elite" NNS:"_elites"
NN:"_emigr_e" NNS:"_emigr_es"
NN:"_ep_ee" NNS:"_ep_ees"
NN:"a" NNS:"-"
NN:"abacus" NNS:"abacuses"
NN:"abandon" NNS:"-"
NN:"abandonment" NNS:"-"
NN:"abasement" NNS:"-"
NN:"abatement" NNS:"-"
NN:"abattoir" NNS:"abattoirs"
NN:"abb_e" NNS:"abb_es"
NN:"abbess" NNS:"abbesses"
NN:"abbey" NNS:"abbeys"
NN:"abbot" NNS:"abbots"
NN:"abbreviation" NNS:"abbreviations"
NN:"abdication" NNS:"abdications"
NN:"abdomen" NNS:"abdomens"
NN:"abduction" NNS:"abductions"
NN:"aberration" NNS:"aberrations"
NN:"abeyance" NNS:"-"
NN:"abhorrence" NNS:"-"
NN:"ability" NNS:"abilities"
NN:"abjection" NNS:"abjections"
NN:"abjuration" NNS:"abjurations"
NN:"ablative" NNS:"ablatives"
NN:"ablaut" NNS:"ablauts"
NN:"ablution" NNS:"ablutions"
NN:"abnegation" NNS:"-"
NN:"abnormality" NNS:"abnormalities"
NN:"abode" NNS:"abodes"
NN:"abolition" NNS:"-"
NN:"abolitionist" NNS:"abolitionists"
NN:"abomination" NNS:"abominations"
NN:"aboriginal" NNS:"aboriginals"
NN:"aborigine" NNS:"aborigines"
NN:"abortion" NNS:"abortions"
NN:"abortionist" NNS:"abortionists"
NN:"about-face" NNS:"-"
NN:"abracadabra" NNS:"-"
NN:"abrasion" NNS:"abrasions"
NN:"abrasive" NNS:"abrasives"
NN:"abridgement" NNS:"abridgements"
NN:"abridgment" NNS:"abridgments"
NN:"abrogation" NNS:"abrogations"
NN:"abruptness" NNS:"-"
NN:"abscess" NNS:"abscesses"
NN:"absence" NNS:"absences"
NN:"absent-mindedness" NNS:"-"
NN:"absentee" NNS:"absentees"
NN:"absenteeism" NNS:"-"
NN:"absinth" NNS:"-"
NN:"absinthe" NNS:"-"
NN:"absolution" NNS:"-"
NN:"absolutism" NNS:"-"
NN:"absorbent" NNS:"absorbents"
NN:"absorption" NNS:"-"
NN:"abstainer" NNS:"abstainers"
NN:"abstemiousness" NNS:"-"
NN:"abstention" NNS:"abstentions"
NN:"abstinence" NNS:"-"
NN:"abstract" NNS:"abstracts"
NN:"abstraction" NNS:"abstractions"
NN:"abstruseness" NNS:"-"
NN:"absurdity" NNS:"absurdities"
NN:"abundance" NNS:"-"
NN:"abuse" NNS:"abuses"
NN:"abutment" NNS:"abutments"
NN:"abysm" NNS:"abysms"
NN:"abyss" NNS:"abysses"
NN:"acacia" NNS:"acacias"
NN:"academic" NNS:"academics"
NN:"academician" NNS:"academicians"
NN:"academy" NNS:"academies"
NN:"accelerando" NNS:"accelerandos"
NN:"acceleration" NNS:"-"
NN:"accelerator" NNS:"accelerators"
NN:"accent" NNS:"accents"
NN:"accentuation" NNS:"accentuations"
NN:"acceptability" NNS:"-"
NN:"acceptance" NNS:"-"
NN:"acceptation" NNS:"acceptations"
NN:"access" NNS:"-"
NN:"accessary" NNS:"accessaries"
NN:"accessibility" NNS:"-"
NN:"accession" NNS:"accessions"
NN:"accessory" NNS:"accessories"
NN:"accidence" NNS:"-"
NN:"accident" NNS:"accidents"
NN:"acclaim" NNS:"-"
NN:"acclamation" NNS:"-"
NN:"acclimation" NNS:"-"
NN:"acclimatization" NNS:"-"
NN:"acclivity" NNS:"acclivities"
NN:"accolade" NNS:"accolades"
NN:"accommodation" NNS:"accommodations"
NN:"accompaniment" NNS:"accompaniments"
NN:"accompanist" NNS:"accompanists"
NN:"accomplice" NNS:"accomplices"
NN:"accomplishment" NNS:"accomplishments"
NN:"accord" NNS:"accords"
NN:"accordance" NNS:"accordances"
NN:"accordion" NNS:"accordions"
NN:"accouchement" NNS:"accouchements"
NN:"account" NNS:"accounts"
NN:"accountancy" NNS:"-"
NN:"accountant" NNS:"accountants"
NN:"accretion" NNS:"accretions"
NN:"accumulation" NNS:"accumulations"
NN:"accumulator" NNS:"accumulators"
NN:"accuracy" NNS:"accuracies"
NN:"accusation" NNS:"accusations"
NN:"accusative" NNS:"accusatives"
NN:"accuser" NNS:"accusers"
NN:"ace" NNS:"aces"
NN:"acerbity" NNS:"acerbities"
NN:"acetate" NNS:"acetates"
NN:"acetylene" NNS:"-"
NN:"ache" NNS:"aches"
NN:"achievement" NNS:"achievements"
NN:"acid" NNS:"acids"
NN:"acidity" NNS:"-"
NN:"ack-ack" NNS:"-"
NN:"acknowledgement" NNS:"acknowledgements"
NN:"acme" NNS:"-"
NN:"acne" NNS:"-"
NN:"acolyte" NNS:"acolytes"
NN:"aconite" NNS:"aconites"
NN:"acorn" NNS:"acorns"
NN:"acorn-cup" NNS:"acorn-cups"
NN:"acoustic" NNS:"acoustics"
NN:"acoustics" NNS:"acoustics"
NN:"acquaintance" NNS:"acquaintances"
NN:"acquaintanceship" NNS:"acquaintanceships"
NN:"acquiescence" NNS:"acquiescences"
NN:"acquirement" NNS:"acquirements"
NN:"acquisition" NNS:"acquisitions"
NN:"acquittal" NNS:"acquittals"
NN:"acre" NNS:"acres"
NN:"acreage" NNS:"-"
NN:"acrimony" NNS:"-"
NN:"acrobat" NNS:"acrobats"
NN:"acrobatics" NNS:"acrobatics"
NN:"acronym" NNS:"acronyms"
NN:"acropolis" NNS:"acropolises"
NN:"acrostic" NNS:"acrostics"
NN:"acrylic" NNS:"acrylics"
NN:"act" NNS:"acts"
NN:"acting" NNS:"-"
NN:"actinism" NNS:"-"
NN:"action" NNS:"actions"
NN:"activation" NNS:"activations"
NN:"activist" NNS:"activists"
NN:"activity" NNS:"activities"
NN:"actor" NNS:"actors"
NN:"actress" NNS:"actresses"
NN:"actuality" NNS:"actualities"
NN:"actuary" NNS:"actuaries"
NN:"acuity" NNS:"-"
NN:"acumen" NNS:"-"
NN:"acupuncture" NNS:"-"
NN:"acuteness" NNS:"-"
NN:"ad" NNS:"ads"
NN:"ad-man" NNS:"ad-men"
NN:"adage" NNS:"adages"
NN:"adagio" NNS:"adagios"
NN:"adamant" NNS:"adamants"
NN:"adaptability" NNS:"-"
NN:"adaptation" NNS:"adaptations"
NN:"adapter" NNS:"adapters"
NN:"adaptor" NNS:"adaptors"
NN:"addendum" NNS:"addenda"
NN:"adder" NNS:"adders"
NN:"addict" NNS:"addicts"
NN:"addiction" NNS:"addictions"
NN:"adding-machine" NNS:"adding-machines"
NN:"addition" NNS:"additions"
NN:"additive" NNS:"additives"
NN:"addle-head" NNS:"addle-heads"
NN:"address" NNS:"addresses"
NN:"addressee" NNS:"addressees"
NN:"adept" NNS:"adepts"
NN:"adequacy" NNS:"-"
NN:"adherence" NNS:"adherences"
NN:"adherent" NNS:"adherents"
NN:"adhesion" NNS:"adhesions"
NN:"adhesive" NNS:"adhesives"
NN:"adieu" NNS:"adieus"
NN:"adjective" NNS:"adjectives"
NN:"adjournment" NNS:"adjournments"
NN:"adjudication" NNS:"adjudications"
NN:"adjudicator" NNS:"adjudicators"
NN:"adjunct" NNS:"adjuncts"
NN:"adjuration" NNS:"adjurations"
NN:"adjuster" NNS:"adjusters"
NN:"adjustment" NNS:"adjustments"
NN:"adjutant" NNS:"adjutants"
NN:"admass" NNS:"-"
NN:"administration" NNS:"administrations"
NN:"administrator" NNS:"administrators"
NN:"admiral" NNS:"admirals"
NN:"admiralty" NNS:"admiralties"
NN:"admiration" NNS:"-"
NN:"admirer" NNS:"admirers"
NN:"admissibility" NNS:"-"
NN:"admission" NNS:"admissions"
NN:"admittance" NNS:"-"
NN:"admixture" NNS:"admixtures"
NN:"admonition" NNS:"admonitions"
NN:"ado" NNS:"-"
NN:"adobe" NNS:"-"
NN:"adolescence" NNS:"-"
NN:"adolescent" NNS:"adolescents"
NN:"adoption" NNS:"adoptions"
NN:"adoration" NNS:"-"
NN:"adorer" NNS:"adorers"
NN:"adornment" NNS:"adornments"
NN:"adrenalin" NNS:"-"
NN:"adroitness" NNS:"-"
NN:"adulation" NNS:"-"
NN:"adult" NNS:"adults"
NN:"adulterant" NNS:"adulterants"
NN:"adulteration" NNS:"adulterations"
NN:"adulterer" NNS:"adulterers"
NN:"adulteress" NNS:"adulteresses"
NN:"adultery" NNS:"adulteries"
NN:"adulthood" NNS:"adulthoods"
NN:"advance" NNS:"advances"
NN:"advancement" NNS:"-"
NN:"advantage" NNS:"advantages"
NN:"advent" NNS:"advents"
NN:"adventure" NNS:"adventures"
NN:"adventurer" NNS:"adventurers"
NN:"adventuress" NNS:"adventuresses"
NN:"adverb" NNS:"adverbs"
NN:"adversary" NNS:"adversaries"
NN:"adversity" NNS:"adversities"
NN:"advert" NNS:"adverts"
NN:"advertisement" NNS:"advertisements"
NN:"advertiser" NNS:"advertisers"
NN:"advice" NNS:"advices"
NN:"advisability" NNS:"-"
NN:"adviser" NNS:"advisers"
NN:"advocacy" NNS:"-"
NN:"advocate" NNS:"advocates"
NN:"advowson" NNS:"advowsons"
NN:"adz" NNS:"adzes"
NN:"adze" NNS:"adzes"
NN:"aegis" NNS:"aegises"
NN:"aeon" NNS:"aeons"
NN:"aeration" NNS:"aerations"
NN:"aerial" NNS:"aerials"
NN:"aerie" NNS:"aeries"
NN:"aerobatics" NNS:"aerobatics"
NN:"aerodrome" NNS:"aerodromes"
NN:"aerodynamics" NNS:"aerodynamics"
NN:"aeronaut" NNS:"aeronauts"
NN:"aeronautics" NNS:"aeronautics"
NN:"aeroplane" NNS:"aeroplanes"
NN:"aerosol" NNS:"aerosols"
NN:"aerospace" NNS:"-"
NN:"aertex" NNS:"-"
NN:"aery" NNS:"aeries"
NN:"aesthete" NNS:"aesthetes"
NN:"aesthetic" NNS:"-"
NN:"aesthetics" NNS:"aesthetics"
NN:"aether" NNS:"-"
NN:"aetiology" NNS:"aetiologies"
NN:"affability" NNS:"-"
NN:"affair" NNS:"affairs"
NN:"affectation" NNS:"affectations"
NN:"affection" NNS:"affections"
NN:"affidavit" NNS:"affidavits"
NN:"affiliation" NNS:"affiliations"
NN:"affinity" NNS:"affinities"
NN:"affirmation" NNS:"affirmations"
NN:"affirmative" NNS:"affirmatives"
NN:"affix" NNS:"affixes"
NN:"afflatus" NNS:"-"
NN:"affliction" NNS:"afflictions"
NN:"affluence" NNS:"-"
NN:"affluent" NNS:"affluents"
NN:"afforestation" NNS:"afforestations"
NN:"affray" NNS:"affrays"
NN:"affront" NNS:"affronts"
NN:"aftercare" NNS:"-"
NN:"afterdamp" NNS:"-"
NN:"aftereffect" NNS:"aftereffects"
NN:"afterglow" NNS:"-"
NN:"aftermath" NNS:", count"
NN:"afternoon" NNS:"afternoons"
NN:"afterthought" NNS:"afterthoughts"
NN:"agar-agar" NNS:"-"
NN:"agate" NNS:"agates"
NN:"agave" NNS:"agaves"
NN:"age" NNS:"ages"
NN:"age-bracket" NNS:"age-brackets"
NN:"age-group" NNS:"age-groups"
NN:"ageing" NNS:"-"
NN:"agency" NNS:"agencies"
NN:"agenda" NNS:"agendas"
NN:"agent" NNS:"agents"
NN:"agent provocateur" NNS:"agents provocateurs"
NN:"agglomeration" NNS:"agglomerations"
NN:"aggrandizement" NNS:"aggrandizements"
NN:"aggravation" NNS:"aggravations"
NN:"aggregate" NNS:"aggregates"
NN:"aggregation" NNS:"aggregations"
NN:"aggression" NNS:"aggressions"
NN:"aggressiveness" NNS:"-"
NN:"aggressor" NNS:"aggressors"
NN:"aggro" NNS:"-"
NN:"agility" NNS:"-"
NN:"aging" NNS:"-"
NN:"agitation" NNS:"agitations"
NN:"agitator" NNS:"agitators"
NN:"agnail" NNS:"-"
NN:"agnostic" NNS:"agnostics"
NN:"agnosticism" NNS:"-"
NN:"agony" NNS:"agonies"
NN:"agora" NNS:"agoras"
NN:"agoraphobia" NNS:"-"
NN:"agreement" NNS:"agreements"
NN:"agriculture" NNS:"-"
NN:"ague" NNS:"agues"
NN:"aid" NNS:"aids"
NN:"aide-de-camp" NNS:"aides-de-camp"
NN:"aide-m_emoire" NNS:"aide-m_emoires"
NN:"aigret" NNS:"aigrets"
NN:"aigrette" NNS:"aigrettes"
NN:"aileron" NNS:"ailerons"
NN:"ailment" NNS:"ailments"
NN:"aim" NNS:"aims"
NN:"air" NNS:"airs"
NN:"air-bladder" NNS:"air-bladders"
NN:"air-conditioning" NNS:"-"
NN:"air-pump" NNS:"air-pumps"
NN:"air-raid" NNS:"air-raids"
NN:"air-shaft" NNS:"air-shafts"
NN:"air-sickness" NNS:"-"
NN:"airbed" NNS:"airbeds"
NN:"airbrake" NNS:"airbrakes"
NN:"aircraft" NNS:"aircraft"
NN:"aircraftman" NNS:"aircraftmen"
NN:"aircrew" NNS:"aircrews"
NN:"airdrome" NNS:"airdromes"
NN:"airfield" NNS:"airfields"
NN:"airflow" NNS:"airflows"
NN:"airframe" NNS:"airframes"
NN:"airing" NNS:"airings"
NN:"airing-cupboard" NNS:"airing-cupboards"
NN:"airline" NNS:"airlines"
NN:"airliner" NNS:"airliners"
NN:"airmail" NNS:"-"
NN:"airman" NNS:"airmen"
NN:"airplane" NNS:"airplanes"
NN:"airport" NNS:"airports"
NN:"airscrew" NNS:"airscrews"
NN:"airship" NNS:"airships"
NN:"airstrip" NNS:"airstrips"
NN:"airway" NNS:"airways"
NN:"airwoman" NNS:"airwomen"
NN:"airworthiness" NNS:"-"
NN:"aisle" NNS:"aisles"
NN:"aitch" NNS:"aitches"
NN:"aitch-bone" NNS:"aitch-bones"
NN:"alabaster" NNS:"-"
NN:"alacrity" NNS:"-"
NN:"alarm" NNS:"alarms"
NN:"alarm-clock" NNS:"alarm-clocks"
NN:"alarmist" NNS:"alarmists"
NN:"alb" NNS:"albs"
NN:"albatross" NNS:"albatrosses"
NN:"albino" NNS:"albinos"
NN:"album" NNS:"albums"
NN:"albumen" NNS:"-"
NN:"alchemist" NNS:"alchemists"
NN:"alchemy" NNS:"-"
NN:"alcohol" NNS:"alcohols"
NN:"alcoholic" NNS:"alcoholics"
NN:"alcoholism" NNS:"-"
NN:"alcove" NNS:"alcoves"
NN:"alder" NNS:"alders"
NN:"alderman" NNS:"aldermen"
NN:"ale" NNS:"ales"
NN:"ale-house" NNS:"ale-houses"
NN:"alert" NNS:"alerts"
NN:"alertness" NNS:"-"
NN:"alexandrine" NNS:"alexandrines"
NN:"alexia" NNS:"-"
NN:"alexic" NNS:"alexics"
NN:"alfalfa" NNS:"-"
NN:"alga" NNS:"algae"
NN:"algebra" NNS:"algebras"
NN:"alias" NNS:"aliases"
NN:"alibi" NNS:"alibis"
NN:"alien" NNS:"aliens"
NN:"alienation" NNS:"-"
NN:"alienist" NNS:"alienists"
NN:"alignment" NNS:"alignments"
NN:"alimony" NNS:"-"
NN:"alkali" NNS:"alkalis"
NN:"all" NNS:"-"
NN:"all-rounder" NNS:"all-rounders"
NN:"allegation" NNS:"allegations"
NN:"allegiance" NNS:"-"
NN:"allegory" NNS:"allegories"
NN:"allegretto" NNS:"allegrettos"
NN:"allegro" NNS:"allegros"
NN:"allergen" NNS:"allergens"
NN:"allergy" NNS:"allergies"
NN:"alleviation" NNS:"alleviations"
NN:"alley" NNS:"alleys"
NN:"alleyway" NNS:"alleyways"
NN:"alliance" NNS:"alliances"
NN:"alligator" NNS:"alligators"
NN:"alliteration" NNS:"-"
NN:"allocation" NNS:"allocations"
NN:"allotment" NNS:"allotments"
NN:"allowance" NNS:"allowances"
NN:"alloy" NNS:"alloys"
NN:"allspice" NNS:"-"
NN:"allure" NNS:"allures"
NN:"allurement" NNS:"allurements"
NN:"allusion" NNS:"allusions"
NN:"ally" NNS:"allies"
NN:"almanac" NNS:"almanacs"
NN:"almighty" NNS:"-"
NN:"almond" NNS:"almonds"
NN:"almoner" NNS:"almoners"
NN:"alms-box" NNS:"alms-boxes"
NN:"alms-giving" NNS:"-"
NN:"alms-house" NNS:"alms-houses"
NN:"aloe" NNS:"aloes"
NN:"aloofness" NNS:"-"
NN:"alp" NNS:"alps"
NN:"alpaca" NNS:"alpacas"
NN:"alpenstock" NNS:"alpenstocks"
NN:"alpha" NNS:"alphas"
NN:"alphabet" NNS:"alphabets"
NN:"alpinist" NNS:"alpinists"
NN:"alsatian" NNS:"alsatians"
NN:"also-ran" NNS:"also-rans"
NN:"altar" NNS:"altars"
NN:"altar-piece" NNS:"altar-pieces"
NN:"alter ego" NNS:"alter egos"
NN:"alteration" NNS:"alterations"
NN:"altercation" NNS:"altercations"
NN:"alternation" NNS:"alternations"
NN:"alternative" NNS:"alternatives"
NN:"altimeter" NNS:"altimeters"
NN:"altitude" NNS:"altitudes"
NN:"alto" NNS:"altos"
NN:"altruism" NNS:"altruisms"
NN:"altruist" NNS:"altruists"
NN:"alum" NNS:"-"
NN:"aluminium" NNS:"-"
NN:"alumna" NNS:"alumnae"
NN:"alumnus" NNS:"alumni"
NN:"alveolar" NNS:"alveolars"
NP:"am" NPS:"-"
NN:"amah" NNS:"amahs"
NN:"amalgam" NNS:"amalgams"
NN:"amalgamation" NNS:"amalgamations"
NN:"amanuensis" NNS:"amanuenses"
NN:"amaryllis" NNS:"amaryllises"
NN:"amateur" NNS:"amateurs"
NN:"amateurism" NNS:"-"
NN:"amazement" NNS:"-"
NN:"ambassador" NNS:"ambassadors"
NN:"ambassadress" NNS:"ambassadresses"
NN:"amber" NNS:"-"
NN:"ambergris" NNS:"-"
NN:"ambience" NNS:"-"
NN:"ambiguity" NNS:"ambiguities"
NN:"ambit" NNS:"ambits"
NN:"ambition" NNS:"ambitions"
NN:"ambivalence" NNS:"-"
NN:"amble" NNS:"ambles"
NN:"ambrosia" NNS:"-"
NN:"ambulance" NNS:"ambulances"
NN:"ambuscade" NNS:"ambuscades"
NN:"ambush" NNS:"ambushes"
NN:"ameba" NNS:"amebas"
NN:"ameer" NNS:"ameers"
NN:"amelioration" NNS:"ameliorations"
NN:"amendment" NNS:"amendments"
NN:"amenity" NNS:"amenities"
NN:"amethyst" NNS:"amethysts"
NN:"amiability" NNS:"-"
NN:"amicability" NNS:"-"
NN:"amir" NNS:"amirs"
NN:"amity" NNS:"-"
NN:"ammeter" NNS:"ammeters"
NN:"ammonia" NNS:"-"
NN:"ammonite" NNS:"ammonites"
NN:"ammunition" NNS:"-"
NN:"amnesia" NNS:"-"
NN:"amnesty" NNS:"amnesties"
NN:"amoeba" NNS:"amoebas"
NN:"amortization" NNS:"amortizations"
NN:"amount" NNS:"amounts"
NN:"amour" NNS:"amours"
NN:"amour-propre" NNS:"-"
NN:"amp" NNS:"amps"
NN:"ampere" NNS:"amperes"
NN:"amphetamine" NNS:"amphetamines"
NN:"amphibian" NNS:"amphibians"
NN:"amphitheatre" NNS:"amphitheatres"
NN:"amphora" NNS:"amphoras"
NN:"amplification" NNS:"amplifications"
NN:"amplifier" NNS:"amplifiers"
NN:"amplitude" NNS:"-"
NN:"ampoule" NNS:"ampoules"
NN:"amputation" NNS:"amputations"
NN:"amulet" NNS:"amulets"
NN:"amusement" NNS:"amusements"
NN:"anachronism" NNS:"anachronisms"
NN:"anaconda" NNS:"anacondas"
NN:"anaemia" NNS:"-"
NN:"anaesthesia" NNS:"-"
NN:"anaesthetic" NNS:"anaesthetics"
NN:"anaesthetist" NNS:"anaesthetists"
NN:"anagram" NNS:"anagrams"
NN:"analgesia" NNS:"-"
NN:"analgesic" NNS:"analgesics"
NN:"analog" NNS:"analogs"
NN:"analogue" NNS:"analogues"
NN:"analogy" NNS:"analogies"
NN:"analysis" NNS:"analyses"
NN:"analyst" NNS:"analysts"
NN:"anapaest" NNS:"anapaests"
NN:"anarchism" NNS:"-"
NN:"anarchist" NNS:"anarchists"
NN:"anarchy" NNS:"-"
NN:"anathema" NNS:"anathemas"
NN:"anatomist" NNS:"anatomists"
NN:"anatomy" NNS:"-"
NN:"ancestor" NNS:"ancestors"
NN:"ancestress" NNS:"ancestresses"
NN:"ancestry" NNS:"ancestries"
NN:"anchor" NNS:"anchors"
NN:"anchorage" NNS:"anchorages"
NN:"anchorite" NNS:"anchorites"
NN:"anchorman" NNS:"anchormen"
NN:"anchovy" NNS:"anchovies"
NN:"andante" NNS:"andantes"
NN:"andiron" NNS:"andirons"
NN:"anecdote" NNS:"anecdotes"
NN:"anemometer" NNS:"anemometers"
NN:"anemone" NNS:"anemones"
NN:"aneroid" NNS:"aneroids"
NN:"anesthetic" NNS:"anesthetics"
NN:"anesthetist" NNS:"anesthetists"
NN:"angel" NNS:"angels"
NN:"angelica" NNS:"-"
NN:"angelus" NNS:"angeluses"
NN:"anger" NNS:"-"
NN:"angina" NNS:"-"
NN:"angle" NNS:"angles"
NN:"angle-dozer" NNS:"angle-dozers"
NN:"angle-iron" NNS:"angle-irons"
NN:"angler" NNS:"anglers"
NN:"anglicism" NNS:"anglicisms"
NN:"angling" NNS:"-"
NN:"angora" NNS:"angoras"
NN:"angostura" NNS:"-"
NN:"angst" NNS:"-"
NN:"anguish" NNS:"-"
NN:"angularity" NNS:"angularities"
NN:"aniline" NNS:"anilines"
NN:"animadversion" NNS:"animadversions"
NN:"animal" NNS:"animals"
NN:"animalcule" NNS:"animalcules"
NN:"animation" NNS:"-"
NN:"animism" NNS:"-"
NN:"animosity" NNS:"animosities"
NN:"animus" NNS:"-"
NN:"anise" NNS:"anises"
NN:"aniseed" NNS:"-"
NN:"ankle" NNS:"ankles"
NN:"anklet" NNS:"anklets"
NN:"anna" NNS:"annas"
NN:"annalist" NNS:"annalists"
NN:"annex" NNS:"annexes"
NN:"annexation" NNS:"-"
NN:"annexe" NNS:"annexes"
NN:"annihilation" NNS:"-"
NN:"anniversary" NNS:"anniversaries"
NN:"annotation" NNS:"annotations"
NN:"announcement" NNS:"announcements"
NN:"announcer" NNS:"announcers"
NN:"annoyance" NNS:"annoyances"
NN:"annual" NNS:"annuals"
NN:"annuitant" NNS:"annuitants"
NN:"annuity" NNS:"annuities"
NN:"annulment" NNS:"annulments"
NN:"annunciation" NNS:"annunciations"
NN:"anode" NNS:"anodes"
NN:"anodyne" NNS:"anodynes"
NN:"anointment" NNS:"anointments"
NN:"anomaly" NNS:"anomalies"
NN:"anonymity" NNS:"-"
NN:"anopheles" NNS:"anopheles"
NN:"anorak" NNS:"anoraks"
NN:"answer" NNS:"answers"
NN:"ant" NNS:"ants"
NN:"ant-eater" NNS:"ant-eaters"
NN:"ant-hill" NNS:"ant-hills"
NN:"antagonism" NNS:"antagonisms"
NN:"antagonist" NNS:"antagonists"
NN:"ante" NNS:"antes"
NN:"antecedence" NNS:"antecedences"
NN:"antecedent" NNS:"antecedents"
NN:"antechamber" NNS:"antechambers"
NN:"antediluvian" NNS:"antediluvians"
NN:"antelope" NNS:"antelopes"
NN:"antenna" NNS:"antennae"
NN:"anteroom" NNS:"anterooms"
NN:"anthem" NNS:"anthems"
NN:"anther" NNS:"anthers"
NN:"anthology" NNS:"anthologies"
NN:"anthracite" NNS:"-"
NN:"anthrax" NNS:"-"
NN:"anthropoid" NNS:"anthropoids"
NN:"anthropologist" NNS:"anthropologists"
NN:"anthropology" NNS:"-"
NN:"anti-semite" NNS:"anti-semites"
NN:"anti-semitism" NNS:"-"
NN:"anti-hero" NNS:"anti-heroes"
NN:"antibiotic" NNS:"antibiotics"
NN:"antibody" NNS:"antibodies"
NN:"antic" NNS:"antics"
NN:"anticipation" NNS:"anticipations"
NN:"anticlimax" NNS:"anticlimaxes"
NN:"anticyclone" NNS:"anticyclones"
NN:"antidote" NNS:"antidotes"
NN:"antifreeze" NNS:"-"
NN:"antiknock" NNS:"-"
NN:"antilogarithm" NNS:"antilogarithms"
NN:"antimacassar" NNS:"antimacassars"
NN:"antimony" NNS:"-"
NN:"antipathy" NNS:"antipathies"
NN:"antiquarian" NNS:"antiquarians"
NN:"antiquary" NNS:"antiquaries"
NN:"antique" NNS:"antiques"
NN:"antiquity" NNS:"antiquities"
NN:"antirrhinum" NNS:"antirrhinums"
NN:"antiseptic" NNS:"antiseptics"
NN:"antithesis" NNS:"antitheses"
NN:"antitoxin" NNS:"antitoxins"
NN:"antitrade" NNS:"antitrades"
NN:"antler" NNS:"antlers"
NN:"antonym" NNS:"antonyms"
NN:"anus" NNS:"anuses"
NN:"anvil" NNS:"anvils"
NN:"anxiety" NNS:"anxieties"
NN:"anybody" NNS:"-"
NN:"anyone" NNS:"-"
NN:"anything" NNS:"-"
NN:"aorta" NNS:"aortas"
NN:"apache" NNS:"apaches"
NN:"apanage" NNS:"-"
NN:"apartheid" NNS:"-"
NN:"apartment" NNS:"apartments"
NN:"apathy" NNS:"-"
NN:"ape" NNS:"apes"
NN:"aperient" NNS:"aperients"
NN:"aperitif" NNS:"aperitifs"
NN:"aperture" NNS:"apertures"
NN:"apex" NNS:"apexes"
NN:"aphasia" NNS:"-"
NN:"aphid" NNS:"aphids"
NN:"aphis" NNS:"aphides"
NN:"aphorism" NNS:"aphorisms"
NN:"aphrodisiac" NNS:"aphrodisiacs"
NN:"apiarist" NNS:"apiarists"
NN:"apiary" NNS:"apiaries"
NN:"apiculture" NNS:"apicultures"
NN:"aplomb" NNS:"-"
NN:"apocalypse" NNS:"apocalypses"
NN:"apogee" NNS:"apogees"
NN:"apologetics" NNS:"apologetics"
NN:"apologist" NNS:"apologists"
NN:"apology" NNS:"apologies"
NN:"apophthegm" NNS:"apophthegms"
NN:"apoplexy" NNS:"-"
NN:"apostasy" NNS:"apostasies"
NN:"apostate" NNS:"apostates"
NN:"apostle" NNS:"apostles"
NN:"apostrophe" NNS:"apostrophes"
NN:"apothecary" NNS:"apothecaries"
NN:"apothegm" NNS:"apothegms"
